"AÑO","MES","LÍNEA FONDER","TIPO DE PERSONA","TAMAÑO DE EMPRESA","SECTOR ECONÓMICO","MUNICIPIO","DESTINO","MONTO OTORGADO ($)","PLAZO","GENERO DEL SOLICITANTE","SITUACIÓN DEL SOLICITANTE","DESCENDENCIA DEL SOLICITANTE"
"2,024","9","2","Persona Juridica","Pequeña","Comercio","Buenaventura","Capital de trabajo","15,000,000","12","Hombre","Padre cabeza de hogar","Afrodescendiente"
"2,024","9","2","Persona Juridica","Pequeña","Comercio","Cali","Capital de trabajo","10,000,000","36","Hombre","Ninguno","Mestizo"
"2,024","9","2","Persona Juridica","Pequeña","Comercio","Cali","Capital de trabajo","15,000,000","36","Hombre","Ninguno","Mestizo"
"2,024","9","2","Persona Juridica","Pequeña","Comercio","Cali","Capital de trabajo","52,000,000","36","Mujer","Madre cabeza de hogar","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Buenaventura","Inversión","5,200,000","36","Mujer","Ninguno","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","4,500,000","36","Mujer","Otros","Afrodescendiente"
"2,024","9","1","Persona Juridica","Microempresa","Comercio","Cali","Capital de trabajo","5,000,000","8","Hombre","Ninguno","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","1,500,000","16","Mujer","Ninguno","Mestizo"
"2,024","9","1","Persona Juridica","Microempresa","Comercio","Cali","Capital de trabajo","1,000,000","36","Hombre","Ninguno","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","5,200,000","36","Hombre","Otros","Otros"
"2,024","9","1","Persona Natural","Pequeña","Comercio","Cali","Capital de trabajo","4,900,000","36","Mujer","Madre cabeza de hogar","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Palmira","Capital de trabajo","5,200,000","36","Hombre","Desplazado por conflicto armado","Otros"
"2,024","9","1","Persona Juridica","Microempresa","Comercio","Palmira","Capital de trabajo","5,200,000","36","Mujer","Ninguno","Otros"
"2,024","9","1","Persona Juridica","Microempresa","Comercio","Cali","Pago de deudas","2,000,000","36","Hombre","Ninguno","Caucásico"
"2,024","9","1","Persona Juridica","Microempresa","Comercio","Cali","Capital de trabajo","5,200,000","36","Mujer","Ninguno","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Inversión","5,200,000","36","Hombre","Ninguno","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","3,000,000","36","Hombre","Padre cabeza de hogar","Mestizo"
"2,024","9","1","Persona Juridica","Microempresa","Comercio","Cali","Capital de trabajo","5,200,000","36","Mujer","Ninguno","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","3,000,000","24","Mujer","Desplazado por conflicto armado","Mestizo"
"2,024","9","2","Persona Juridica","Pequeña","Comercio","Cali","Capital de trabajo","15,000,000","36","Mujer","Ninguno","Otros"
